,时间,open,high,low,close,交易状态,交易价格,交易数量,交易金额,交易费用,当前持仓,可用资金,资金利用率,资产价值,未实现盈亏,总资产,净值,策略,时间框架
0,2009-08-05 16:00:00,39.68,39.85,39.56,39.73,无,39.73,0,0.0,0.0,0,100000.0,0.0,0.0,0.0,100000.0,1.0,vad,240min
1,2009-08-06 12:00:00,39.79,39.92,39.31,39.48,无,39.48,0,0.0,0.0,0,100000.0,0.0,0.0,0.0,100000.0,1.0,vad,240min
2,2009-08-06 16:00:00,39.49,39.57,39.24,39.4,无,39.4,0,0.0,0.0,0,100000.0,0.0,0.0,0.0,100000.0,1.0,vad,240min
3,2009-08-07 12:00:00,39.92,40.06,39.6,40.05,无,40.05,0,0.0,0.0,0,100000.0,0.0,0.0,0.0,100000.0,1.0,vad,240min
4,2009-08-07 16:00:00,40.06,40.07,39.82,39.88,无,39.88,0,0.0,0.0,0,100000.0,0.0,0.0,0.0,100000.0,1.0,vad,240min
5,2009-08-10 12:00:00,39.73,39.84,39.39,39.46,无,39.46,0,0.0,0.0,0,100000.0,0.0,0.0,0.0,100000.0,1.0,vad,240min
6,2009-08-10 16:00:00,39.45,39.62,39.34,39.6,无,39.6,0,0.0,0.0,0,100000.0,0.0,0.0,0.0,100000.0,1.0,vad,240min
7,2009-08-11 12:00:00,39.42,39.5,39.05,39.08,无,39.08,0,0.0,0.0,0,100000.0,0.0,0.0,0.0,100000.0,1.0,vad,240min
8,2009-08-11 16:00:00,39.08,39.42,39.08,39.24,买,39.08,255,9965.4,9.9654,255,90034.6,0.1000211913539276,10006.2,40.80000000000109,100040.8,1.0004,vad,240min
9,2009-08-11 16:00:00,39.08,39.42,39.08,39.24,无,39.24,0,0.0,0.0,255,90034.6,0.1000211913539276,10006.2,40.80000000000109,100040.8,1.0004,vad,240min
10,2009-08-12 12:00:00,39.21,40.01,39.2,40.0,无,40.0,0,0.0,0.0,255,90034.6,0.10176126806511922,10200.0,234.60000000000036,100234.6,1.0023,vad,240min
11,2009-08-12 16:00:00,39.99,40.22,39.72,39.87,无,39.87,0,0.0,0.0,255,90034.6,0.10146410056940292,10166.849999999999,201.4499999999989,100201.45000000001,1.002,vad,240min
12,2009-08-13 12:00:00,40.1,40.16,39.64,39.99,无,39.99,0,0.0,0.0,255,90034.6,0.10173841600565887,10197.45,232.0500000000011,100232.05,1.0023,vad,240min
13,2009-08-13 16:00:00,40.0,40.09,39.77,40.09,无,40.09,0,0.0,0.0,255,90034.6,0.10196688428951237,10222.95,257.5500000000011,100257.55,1.0026,vad,240min
14,2009-08-14 12:00:00,39.89,39.96,39.29,39.39,无,39.39,0,0.0,0.0,255,90034.6,0.10036516133996076,10044.45,79.05000000000109,100079.05,1.0008,vad,240min
15,2009-08-14 16:00:00,39.39,39.65,39.34,39.63,无,39.63,0,0.0,0.0,255,90034.6,0.10091496675912034,10105.650000000001,140.25000000000182,100140.25,1.0014,vad,240min
16,2009-08-17 12:00:00,38.97,39.01,38.56,38.62,无,38.62,0,0.0,0.0,255,90034.6,0.09859665387499535,9848.099999999999,-117.30000000000109,99882.70000000001,0.9988,vad,240min
17,2009-08-17 16:00:00,38.62,38.68,38.46,38.48,加,38.62,388,14984.56,14.98456,643,75050.04000000001,0.24794043009968264,24742.64,-207.3199999999997,99792.68000000001,0.9979,vad,240min
18,2009-08-17 16:00:00,38.62,38.68,38.46,38.48,无,38.48,0,0.0,0.0,643,75050.04000000001,0.24794043009968264,24742.64,-207.3199999999997,99792.68000000001,0.9979,vad,240min
19,2009-08-18 12:00:00,38.72,39.04,38.62,38.99,无,38.99,0,0.0,0.0,643,75050.04000000001,0.25040368811176833,25070.57,120.61000000000058,100120.61000000002,1.0012,vad,240min
20,2009-08-18 16:00:00,38.99,39.11,38.91,39.03,无,39.03,0,0.0,0.0,643,75050.04000000001,0.2505962025767694,25096.29,146.33000000000175,100146.33000000002,1.0015,vad,240min
21,2009-08-19 12:00:00,38.58,39.36,38.54,39.32,无,39.32,0,0.0,0.0,643,75050.04000000001,0.2519889806723225,25282.76,332.7999999999993,100332.8,1.0033,vad,240min
22,2009-08-19 16:00:00,39.32,39.4,39.17,39.31,无,39.31,0,0.0,0.0,643,75050.04000000001,0.2519410400276617,25276.33,326.3700000000026,100326.37000000001,1.0033,vad,240min
23,2009-08-20 12:00:00,39.28,39.74,39.21,39.68,无,39.68,0,0.0,0.0,643,75050.04000000001,0.25371076091829026,25514.24,564.2800000000025,100564.28000000001,1.0056,vad,240min
24,2009-08-20 16:00:00,39.68,39.835,39.61,39.76,无,39.76,0,0.0,0.0,643,75050.04000000001,0.2540923028727519,25565.68,615.7200000000012,100615.72,1.0062,vad,240min
25,2009-08-21 12:00:00,40.01,40.36,39.75,40.17,无,40.17,0,0.0,0.0,643,75050.04000000001,0.256041598206174,25829.31,879.3500000000022,100879.35,1.0088,vad,240min
26,2009-08-21 16:00:00,40.17,40.35,40.06,40.28,无,40.28,0,0.0,0.0,643,75050.04000000001,0.2565628476966041,25900.04,950.0800000000017,100950.08000000002,1.0095,vad,240min
27,2009-08-24 12:00:00,40.35,40.57,40.16,40.17,无,40.17,0,0.0,0.0,643,75050.04000000001,0.256041598206174,25829.31,879.3500000000022,100879.35,1.0088,vad,240min
28,2009-08-24 16:00:00,40.16,40.36,40.1,40.24,无,40.24,0,0.0,0.0,643,75050.04000000001,0.25637338696029377,25874.32,924.3600000000006,100924.36000000002,1.0092,vad,240min
29,2009-08-25 12:00:00,40.34,40.75,40.26,40.39,无,40.39,0,0.0,0.0,643,75050.04000000001,0.25708336727848446,25970.77,1020.8100000000013,101020.81000000001,1.0102,vad,240min
30,2009-08-25 16:00:00,40.39,40.46,40.25,40.35,无,40.35,0,0.0,0.0,643,75050.04000000001,0.2568941717859749,25945.05,995.0900000000001,100995.09000000001,1.01,vad,240min
31,2009-08-26 12:00:00,40.29,40.6,40.08,40.16,无,40.16,0,0.0,0.0,643,75050.04000000001,0.2559941756419859,25822.879999999997,872.9199999999983,100872.92000000001,1.0087,vad,240min
32,2009-08-26 16:00:00,40.16,40.4,40.15,40.32,无,40.32,0,0.0,0.0,643,75050.04000000001,0.25675221191612246,25925.76,975.7999999999993,100975.8,1.0098,vad,240min
33,2009-08-27 12:00:00,40.32,40.32,39.67,39.96,无,39.96,0,0.0,0.0,643,75050.04000000001,0.2550444531264889,25694.28,744.3199999999997,100744.32,1.0074,vad,240min
34,2009-08-27 16:00:00,39.96,40.46,39.96,40.4,无,40.4,0,0.0,0.0,643,75050.04000000001,0.257130651099644,25977.2,1027.2400000000016,101027.24,1.0103,vad,240min
35,2009-08-28 12:00:00,40.88,41.08,40.17,40.36,无,40.36,0,0.0,0.0,643,75050.04000000001,0.25694147969258285,25951.48,1001.5200000000004,101001.52,1.01,vad,240min
36,2009-08-28 16:00:00,40.35,40.59,40.31,40.44,无,40.44,0,0.0,0.0,643,75050.04000000001,0.2573197262108898,26002.92,1052.9599999999991,101052.96,1.0105,vad,240min
37,2009-08-31 12:00:00,40.16,40.195,39.79,39.84,无,39.84,0,0.0,0.0,643,75050.04000000001,0.25447345489830053,25617.120000000003,667.1600000000035,100667.16,1.0067,vad,240min
38,2009-08-31 16:00:00,39.85,40.04,39.82,40.04,无,40.04,0,0.0,0.0,643,75050.04000000001,0.2554246329409094,25745.72,795.760000000002,100795.76000000001,1.008,vad,240min
